Word,C1,C2,C3,C4,Frequency
韵事,韵,事,NA,NA,0.593
带宽,带,宽,NA,NA,0.9118
梦遗,梦,遗,NA,NA,0.3484
作弄,作,弄,NA,NA,0.6004
蹉,蹉,NA,NA,NA,0.0222
恰好,恰,好,NA,NA,4.6479
解渴,解,渴,NA,NA,0.9489
坏话,坏,话,NA,NA,5.1297
声威,声,威,NA,NA,0.1038
祝,祝,NA,NA,NA,440.5189
榻,榻,NA,NA,NA,0.1186
盘踞,盘,踞,NA,NA,0.4744
先兆,先,兆,NA,NA,0.5041
蟒,蟒,NA,NA,NA,0.0815
莴苣,莴,苣,NA,NA,0.8673
取保,取,保,NA,NA,0.0371
外屋,外,屋,NA,NA,0.089
添乱,添,乱,NA,NA,1.6383
履约,履,约,NA,NA,0.0297
怀,怀,NA,NA,NA,23.7435
伦理,伦,理,NA,NA,10.1853
伏,伏,NA,NA,NA,4.0474
门面,门,面,NA,NA,0.9933
修养,修,养,NA,NA,8.851
凌云,凌,云,NA,NA,0.5634
裆,裆,NA,NA,NA,0.1631
阔步,阔,步,NA,NA,0.1483
阴凉,阴,凉,NA,NA,2.1423
拼抢,拼,抢,NA,NA,0.1705
貌似,貌,似,NA,NA,59.1549
宽泛,宽,泛,NA,NA,0.1927
水车,水,车,NA,NA,0.215
嗟叹,嗟,叹,NA,NA,0.3484
放行,放,行,NA,NA,1.0007
粗,粗,NA,NA,NA,29.2661
邱,邱,NA,NA,NA,0.3855
嘈,嘈,NA,NA,NA,0.2446
梦境,梦,境,NA,NA,10.6301
中旬,中,旬,NA,NA,1.3121
坐镇,坐,镇,NA,NA,0.5708
裁定,裁,定,NA,NA,1.1861
招标,招,标,NA,NA,1.3566
迷茫,迷,茫,NA,NA,21.9348
柜员,柜,员,NA,NA,0.3781
海里,海,里,NA,NA,3.2691
股东,股,东,NA,NA,4.7443
效果,效,果,NA,NA,79.0067
使用,使,用,NA,NA,135.9155
活跃,活,跃,NA,NA,9.785
掩盖,掩,盖,NA,NA,9.6961
会展,会,展,NA,NA,1.9496
恭贺,恭,贺,NA,NA,5.1075
侍候,侍,候,NA,NA,0.6449
蚱蜢,蚱,蜢,NA,NA,0.2743
混淆,混,淆,NA,NA,1.9051
纹,纹,NA,NA,NA,11.9718
将,将,NA,NA,NA,975.6931
综艺,综,艺,NA,NA,7.7984
厦,厦,NA,NA,NA,0.1483
蓝图,蓝,图,NA,NA,1.3417
职能,职,能,NA,NA,0.897
牢固,牢,固,NA,NA,1.8977
借问,借,问,NA,NA,0.3113
内勤,内,勤,NA,NA,0.1408
流逝,流,逝,NA,NA,11.6012
什,什,NA,NA,NA,11.6012
黑货,黑,货,NA,NA,0.0222
右面,右,面,NA,NA,0.7339
面具,面,具,NA,NA,16.6864
探究,探,究,NA,NA,1.0378
憎,憎,NA,NA,NA,0.7635
夏季,夏,季,NA,NA,8.6138
刀刃,刀,刃,NA,NA,0.8599
大批,大,批,NA,NA,2.0979
让步,让,步,NA,NA,3.7658
争先,争,先,NA,NA,0.4299
罢工,罢,工,NA,NA,6.4566
雄师,雄,师,NA,NA,0.7858
法庭,法,庭,NA,NA,20.0222
前驱,前,驱,NA,NA,0.0519
涓,涓,NA,NA,NA,0.0222
罪证,罪,证,NA,NA,0.7561
别字,别,字,NA,NA,0.126
大宗,大,宗,NA,NA,1.0749
接,接,NA,NA,NA,167.576
壁橱,壁,橱,NA,NA,1.7791
水解,水,解,NA,NA,0.2446
烦扰,烦,扰,NA,NA,0.8302
贩,贩,NA,NA,NA,0.4967
时政,时,政,NA,NA,0.6227
公允,公,允,NA,NA,0.2595
抗拒,抗,拒,NA,NA,8.8288
高亢,高,亢,NA,NA,0.4893
相貌,相,貌,NA,NA,3.7361
腭裂,腭,裂,NA,NA,0.0815
明儿,明,儿,NA,NA,13.6027
口水,口,水,NA,NA,11.0007
玄妙,玄,妙,NA,NA,0.5486
耳光,耳,光,NA,NA,6.9459
外国,外,国,NA,NA,12.9874
悔过,悔,过,NA,NA,1.1935
紧凑,紧,凑,NA,NA,2.2313
聚居,聚,居,NA,NA,0.2595
消耗,消,耗,NA,NA,10.2001
在先,在,先,NA,NA,0.3632
屈尊,屈,尊,NA,NA,0.1334
浏览,浏,览,NA,NA,5.4633
哨,哨,NA,NA,NA,0.6301
铠甲,铠,甲,NA,NA,0.7487
钢筋,钢,筋,NA,NA,1.1638
落户,落,户,NA,NA,1.2602
衍生,衍,生,NA,NA,1.06
瓦砾,瓦,砾,NA,NA,0.2965
华山,华,山,NA,NA,3.4766
建议,建,议,NA,NA,72.5945
关节,关,节,NA,NA,3.9066
人大,人,大,NA,NA,13.3877
金文,金,文,NA,NA,0.1631
等分,等,分,NA,NA,0.0815
脑汁,脑,汁,NA,NA,0.3558
首脑,首,脑,NA,NA,0.9266
脚下,脚,下,NA,NA,2.8243
矫治,矫,治,NA,NA,0.0815
明确,明,确,NA,NA,14.0919
货源,货,源,NA,NA,1.0452
硬件,硬,件,NA,NA,3.2468
随地,随,地,NA,NA,10.467
突起,突,起,NA,NA,0.4077
即日,即,日,NA,NA,9.5033
门牌,门,牌,NA,NA,0.4522
丰年,丰,年,NA,NA,6.9533
人群,人,群,NA,NA,21.4307
大嫂,大,嫂,NA,NA,2.3573
蛇头,蛇,头,NA,NA,0.4818
支派,支,派,NA,NA,0.0445
错失,错,失,NA,NA,3.0838
悠长,悠,长,NA,NA,1.9051
起落,起,落,NA,NA,0.5856
开荒,开,荒,NA,NA,0.2891
起身,起,身,NA,NA,35.8933
屈从,屈,从,NA,NA,0.3188
勋,勋,NA,NA,NA,0.2595
忠臣,忠,臣,NA,NA,0.5708
土布,土,布,NA,NA,0.0519
撕毁,撕,毁,NA,NA,0.3929
土,土,NA,NA,NA,20.6153
城管,城,管,NA,NA,5.6857
杖,杖,NA,NA,NA,5.0037
补充,补,充,NA,NA,22.7428
毫,毫,NA,NA,NA,44.0771
和睦,和,睦,NA,NA,5.6042
忿,忿,NA,NA,NA,0.2298
恶霸,恶,霸,NA,NA,1.5196
授予,授,予,NA,NA,16.9904
时势,时,势,NA,NA,0.1779
外边,外,边,NA,NA,4.7591
单刀,单,刀,NA,NA,0.126
顿时,顿,时,NA,NA,22.6242
五香,五,香,NA,NA,0.2669
打转,打,转,NA,NA,2.8391
小春,小,春,NA,NA,6.2194
释怀,释,怀,NA,NA,9.2513
神女,神,女,NA,NA,0.3039
平头,平,头,NA,NA,1.4381
拼,拼,NA,NA,NA,34.3365
磨蹭,磨,蹭,NA,NA,2.8243
魔术,魔,术,NA,NA,29.5626
绒布,绒,布,NA,NA,0.2817
野战,野,战,NA,NA,0.9414
闾,闾,NA,NA,NA,0.0148
急救,急,救,NA,NA,5.3447
煽动,煽,动,NA,NA,1.6383
尸,尸,NA,NA,NA,11.0082
放大,放,大,NA,NA,13.0541
鼻烟,鼻,烟,NA,NA,0.0519
片,片,NA,NA,NA,199.3625
励,励,NA,NA,NA,0.1334
政局,政,局,NA,NA,0.4522
临危,临,危,NA,NA,0.1927
蝇,蝇,NA,NA,NA,0.4448
羽化,羽,化,NA,NA,0.2743
明知,明,知,NA,NA,9.0141
女伶,女,伶,NA,NA,0.089
精读,精,读,NA,NA,0.4077
反,反,NA,NA,NA,39.3847
男人,男,人,NA,NA,474.1957
拉面,拉,面,NA,NA,8.4804
徜徉,徜,徉,NA,NA,1.3417
闭关,闭,关,NA,NA,4.0178
骨血,骨,血,NA,NA,0.3262
马刀,马,刀,NA,NA,0.0667
急难,急,难,NA,NA,0.0815
屏障,屏,障,NA,NA,1.2454
激酶,激,酶,NA,NA,0.0667
渲染,渲,染,NA,NA,2.424
死活,死,活,NA,NA,5.8784
焦距,焦,距,NA,NA,0.4596
兀鹫,兀,鹫,NA,NA,0.0741
洋槐,洋,槐,NA,NA,0.0667
溺爱,溺,爱,NA,NA,3.2617
忧心,忧,心,NA,NA,0.8821
乐事,乐,事,NA,NA,2.9207
灾,灾,NA,NA,NA,5.0704
麸皮,麸,皮,NA,NA,0.0297
浮华,浮,华,NA,NA,3.0838
发型,发,型,NA,NA,45.0556
雅致,雅,致,NA,NA,1.5789
智囊,智,囊,NA,NA,0.2817
暖,暖,NA,NA,NA,40.1779
武力,武,力,NA,NA,1.8829
满额,满,额,NA,NA,0.2001
预报,预,报,NA,NA,15.2039
别人,别,人,NA,NA,516.9014
戈壁,戈,壁,NA,NA,1.5715
传统,传,统,NA,NA,40.7042
大义,大,义,NA,NA,0.6672
严密,严,密,NA,NA,1.6383
硫磺,硫,磺,NA,NA,1.3195
灾民,灾,民,NA,NA,0.3262
睡眠,睡,眠,NA,NA,48.8139
房契,房,契,NA,NA,0.0815
山野,山,野,NA,NA,0.6301
蹊跷,蹊,跷,NA,NA,1.2231
滋味,滋,味,NA,NA,30.3336
谢恩,谢,恩,NA,NA,0.6153
峻,峻,NA,NA,NA,0.0222
问候,问,候,NA,NA,75.96
堂上,堂,上,NA,NA,0.1038
风行,风,行,NA,NA,1.149
大胆,大,胆,NA,NA,12.6835
捞取,捞,取,NA,NA,0.1927
四海,四,海,NA,NA,2.2832
没事,没,事,NA,NA,45.3744
发扬,发,扬,NA,NA,1.9718
腻,腻,NA,NA,NA,12.3647
头脑,头,脑,NA,NA,20.4893
营销,营,销,NA,NA,12.3795
朝代,朝,代,NA,NA,1.5493
陈述,陈,述,NA,NA,4.1142
丑事,丑,事,NA,NA,0.6449
剃刀,剃,刀,NA,NA,0.8821
获知,获,知,NA,NA,0.3781
议程,议,程,NA,NA,0.9192
漫画,漫,画,NA,NA,57.0052
忙于,忙,于,NA,NA,3.8844
河蚌,河,蚌,NA,NA,0.126
饭店,饭,店,NA,NA,20.8895
往时,往,时,NA,NA,0.0593
角,角,NA,NA,NA,35.7969
边远,边,远,NA,NA,0.4151
保育,保,育,NA,NA,0.1779
格子,格,子,NA,NA,6.7235
粗细,粗,细,NA,NA,0.8451
自己,自,己,NA,NA,2584.2476
监,监,NA,NA,NA,0.8006
纠错,纠,错,NA,NA,0.4077
总得,总,得,NA,NA,1.6679
异,异,NA,NA,NA,10.3929
想见,想,见,NA,NA,14.3143
秽行,秽,行,NA,NA,0.0148
深情,深,情,NA,NA,18.0208
散架,散,架,NA,NA,2.1053
强逼,强,逼,NA,NA,0.215
郁结,郁,结,NA,NA,0.5411
跑车,跑,车,NA,NA,5.1223
强令,强,令,NA,NA,0.0222
侃,侃,NA,NA,NA,0.3706
倌,倌,NA,NA,NA,0.0148
飘逸,飘,逸,NA,NA,4.8629
浅滩,浅,滩,NA,NA,0.3039
通用,通,用,NA,NA,8.6805
欠,欠,NA,NA,NA,41.8755
里拉,里,拉,NA,NA,1.3788
慈悲,慈,悲,NA,NA,7.3165
急病,急,病,NA,NA,0.126
起点,起,点,NA,NA,14.1809
才女,才,女,NA,NA,0.5634
制订,制,订,NA,NA,0.7858
贬抑,贬,抑,NA,NA,0.0222
张口,张,口,NA,NA,2.5352
产地,产,地,NA,NA,1.401
归拢,归,拢,NA,NA,0.0593
健壮,健,壮,NA,NA,1.5048
办法,办,法,NA,NA,124.2921
颁奖,颁,奖,NA,NA,15.6338
啤,啤,NA,NA,NA,0.8006
架,架,NA,NA,NA,39.6294
滩,滩,NA,NA,NA,2.6316
概论,概,论,NA,NA,0.5337
倩,倩,NA,NA,NA,0.2298
定做,定,做,NA,NA,1.364
下风,下,风,NA,NA,1.0823
执,执,NA,NA,NA,30.8525
可意,可,意,NA,NA,0.1186
寅,寅,NA,NA,NA,0.0371
彩旗,彩,旗,NA,NA,0.6375
采伐,采,伐,NA,NA,0.0148
初时,初,时,NA,NA,0.0964
肋骨,肋,骨,NA,NA,3.2468
财产,财,产,NA,NA,13.0319
洗刷,洗,刷,NA,NA,2.3054
基本,基,本,NA,NA,59.192
意念,意,念,NA,NA,2.4685
翻然,翻,然,NA,NA,0.0815
创痕,创,痕,NA,NA,0.0297
降解,降,解,NA,NA,0.3855
哄笑,哄,笑,NA,NA,0.126
介质,介,质,NA,NA,0.2224
手感,手,感,NA,NA,4.2995
文艺,文,艺,NA,NA,39.2142
阶级,阶,级,NA,NA,4.1809
纷,纷,NA,NA,NA,0.1927
鸳鸯,鸳,鸯,NA,NA,3.2617
惟有,惟,有,NA,NA,2.7576
汇报,汇,报,NA,NA,9.5033
瞌睡,瞌,睡,NA,NA,11.0156
敏感,敏,感,NA,NA,24.9222
悔罪,悔,罪,NA,NA,0.0519
臼齿,臼,齿,NA,NA,0.1705
出借,出,借,NA,NA,0.0297
魔窟,魔,窟,NA,NA,5.2335
萧,萧,NA,NA,NA,2.3351
哔,哔,NA,NA,NA,1.4974
宕,宕,NA,NA,NA,0.0445
扰,扰,NA,NA,NA,0.7191
水螅,水,螅,NA,NA,0.0297
怪圈,怪,圈,NA,NA,0.9044
零碎,零,碎,NA,NA,1.0304
公映,公,映,NA,NA,0.9711
命题,命,题,NA,NA,1.5789
展板,展,板,NA,NA,0.2372
里弄,里,弄,NA,NA,0.9414
敬重,敬,重,NA,NA,1.401
直觉,直,觉,NA,NA,12.5278
本子,本,子,NA,NA,4.4033
协,协,NA,NA,NA,0.6968
跑道,跑,道,NA,NA,2.7131
白日,白,日,NA,NA,1.6086
备课,备,课,NA,NA,0.6227
造假,造,假,NA,NA,2.1794
学士,学,士,NA,NA,0.6079
健身,健,身,NA,NA,12.6761
皓月,皓,月,NA,NA,0.4374
影视,影,视,NA,NA,13.1727
进去,进,去,NA,NA,88.8732
铁锈,铁,锈,NA,NA,0.252
汤锅,汤,锅,NA,NA,1.5048
乘法,乘,法,NA,NA,0.5041
打闪,打,闪,NA,NA,0.0297
掂,掂,NA,NA,NA,4.3736
迭,迭,NA,NA,NA,1.3566
短见,短,见,NA,NA,0.0667
补救,补,救,NA,NA,3.1727
秘诀,秘,诀,NA,NA,9.9629
投案,投,案,NA,NA,0.3113
名流,名,流,NA,NA,1.1119
空袭,空,袭,NA,NA,1.1712
演示,演,示,NA,NA,3.9956
铁鸟,铁,鸟,NA,NA,0.0222
分化,分,化,NA,NA,1.8384
密林,密,林,NA,NA,0.2446
氧,氧,NA,NA,NA,1.8013
震感,震,感,NA,NA,0.1631
母机,母,机,NA,NA,0.0297
拳击,拳,击,NA,NA,5.0704
微,微,NA,NA,NA,2352.765
面皮,面,皮,NA,NA,1.2305
裁缝,裁,缝,NA,NA,3.5137
自燃,自,燃,NA,NA,0.8747
别称,别,称,NA,NA,0.3484
金鱼,金,鱼,NA,NA,3.8473
伯仲,伯,仲,NA,NA,0.2891
兴致,兴,致,NA,NA,4.5589
过敏,过,敏,NA,NA,17.3017
篷,篷,NA,NA,NA,0.8821
曲柄,曲,柄,NA,NA,0.0815
贞节,贞,节,NA,NA,0.1779
目击,目,击,NA,NA,5.1001
妄语,妄,语,NA,NA,0.1038
扎,扎,NA,NA,NA,19.1549
王府,王,府,NA,NA,1.1342
奇,奇,NA,NA,NA,14.7813
挨,挨,NA,NA,NA,20.3558
投产,投,产,NA,NA,0.4522
界,界,NA,NA,NA,9.7405
转轴,转,轴,NA,NA,0.2001
沿,沿,NA,NA,NA,3.5137
显形,显,形,NA,NA,0.1853
虚无,虚,无,NA,NA,2.2758
耳屎,耳,屎,NA,NA,0.593
寄予,寄,予,NA,NA,1.1638
椰,椰,NA,NA,NA,0.3929
诈唬,诈,唬,NA,NA,0.0222
修葺,修,葺,NA,NA,0.1112
缩写,缩,写,NA,NA,2.6019
对数,对,数,NA,NA,0.2076
仙,仙,NA,NA,NA,30.7042
发布,发,布,NA,NA,57.1016
中医,中,医,NA,NA,8.7472
临床,临,床,NA,NA,3.6546
枣子,枣,子,NA,NA,0.5411
西点,西,点,NA,NA,1.023
重唱,重,唱,NA,NA,0.3039
真性,真,性,NA,NA,0.5337
占星,占,星,NA,NA,0.3706
细微,细,微,NA,NA,2.9874
受病,受,病,NA,NA,0.0222
专修,专,修,NA,NA,0.1853
干流,干,流,NA,NA,0.0964
家书,家,书,NA,NA,0.5708
明矾,明,矾,NA,NA,0.2891
先后,先,后,NA,NA,4.2031
花粉,花,粉,NA,NA,1.4307
抗战,抗,战,NA,NA,4.3884
重水,重,水,NA,NA,0.0964
移居,移,居,NA,NA,0.6968
欢悦,欢,悦,NA,NA,0.1631
窜逃,窜,逃,NA,NA,0.0445
上层,上,层,NA,NA,2.1349
丧礼,丧,礼,NA,NA,0.3484
残局,残,局,NA,NA,1.8458
孕吐,孕,吐,NA,NA,0.1557
历险,历,险,NA,NA,1.0749
坡地,坡,地,NA,NA,0.0964
正轨,正,轨,NA,NA,3.0245
拥挤,拥,挤,NA,NA,11.4159
分担,分,担,NA,NA,36.9162
污物,污,物,NA,NA,0.1927
回单,回,单,NA,NA,0.1927
熊市,熊,市,NA,NA,0.682
苦战,苦,战,NA,NA,0.6968
霸道,霸,道,NA,NA,27.0497
野蛮,野,蛮,NA,NA,27.4277
仪器,仪,器,NA,NA,3.6397
谣传,谣,传,NA,NA,0.8599
拖拉,拖,拉,NA,NA,1.2083
装点,装,点,NA,NA,1.8532
化解,化,解,NA,NA,10.5782
书市,书,市,NA,NA,0.1483
害处,害,处,NA,NA,1.4529
中期,中,期,NA,NA,1.9348
现世,现,世,NA,NA,1.4529
升幅,升,幅,NA,NA,0.1779
驯服,驯,服,NA,NA,1.1712
佐,佐,NA,NA,NA,2.5204
告状,告,状,NA,NA,1.3491
在意,在,意,NA,NA,35.9748
亲密,亲,密,NA,NA,28.2802
遗精,遗,精,NA,NA,0.4744
盛会,盛,会,NA,NA,1.1564
塘,塘,NA,NA,NA,0.1927
靠近,靠,近,NA,NA,28.3766
蠢事,蠢,事,NA,NA,3.0764
再三,再,三,NA,NA,1.4085
靠枕,靠,枕,NA,NA,0.4967
倒叙,倒,叙,NA,NA,0.089
邻里,邻,里,NA,NA,1.4085
雇主,雇,主,NA,NA,1.8829
遐,遐,NA,NA,NA,0.0445
增幅,增,幅,NA,NA,1.4826
体态,体,态,NA,NA,0.9859
小鬼,小,鬼,NA,NA,4.0623
有余,有,余,NA,NA,2.2165
吃香,吃,香,NA,NA,1.7124
凡间,凡,间,NA,NA,0.897
警务,警,务,NA,NA,0.8154
找事,找,事,NA,NA,3.0764
发迹,发,迹,NA,NA,0.5486
背风,背,风,NA,NA,0.0148
剪辑,剪,辑,NA,NA,5.2706
诉苦,诉,苦,NA,NA,2.1275
涡,涡,NA,NA,NA,0.1853
缥缈,缥,缈,NA,NA,0.5634
快要,快,要,NA,NA,16.2342
实景,实,景,NA,NA,0.7635
丰韵,丰,韵,NA,NA,0.1853
打动,打,动,NA,NA,13.0393
强压,强,压,NA,NA,0.2595
要不,要,不,NA,NA,2.5204
门径,门,径,NA,NA,0.1853
充满,充,满,NA,NA,84.8703
灰,灰,NA,NA,NA,69.7331
游记,游,记,NA,NA,6.8347
名著,名,著,NA,NA,2.0534
发福,发,福,NA,NA,2.1423
灾难,灾,难,NA,NA,12.1053
奢望,奢,望,NA,NA,11.238
油脂,油,脂,NA,NA,6.9162
担,担,NA,NA,NA,3.1208
羽毛,羽,毛,NA,NA,4.6553
箱包,箱,包,NA,NA,0.8302
仰面,仰,面,NA,NA,0.2891
走卒,走,卒,NA,NA,0.089
侵扰,侵,扰,NA,NA,0.4003
响动,响,动,NA,NA,0.3929
为害,为,害,NA,NA,0.0519
奔逃,奔,逃,NA,NA,0.0964
蚌,蚌,NA,NA,NA,0.2298
苑,苑,NA,NA,NA,0.7339
气喘,气,喘,NA,NA,0.5486
协作,协,作,NA,NA,1.8384
调阅,调,阅,NA,NA,0.0445
丧生,丧,生,NA,NA,1.7124
触动,触,动,NA,NA,7.4203
芹菜,芹,菜,NA,NA,7.02
炸弹,炸,弹,NA,NA,26.6197
连任,连,任,NA,NA,4.9889
末年,末,年,NA,NA,0.3188
塞车,塞,车,NA,NA,13.573
专署,专,署,NA,NA,0.2372
封皮,封,皮,NA,NA,0.252
手绢,手,绢,NA,NA,0.6672
峨,峨,NA,NA,NA,0.0297
麝,麝,NA,NA,NA,0.0445
赤,赤,NA,NA,NA,9.0882
喧哗,喧,哗,NA,NA,2.5723
厄运,厄,运,NA,NA,2.2239
工种,工,种,NA,NA,0.2372
滑行,滑,行,NA,NA,1.4381
胯,胯,NA,NA,NA,0.4967
安歇,安,歇,NA,NA,0.2001
包头,包,头,NA,NA,1.6086
漏风,漏,风,NA,NA,0.3929
搭档,搭,档,NA,NA,19.7628
乙酸,乙,酸,NA,NA,0.126
太婆,太,婆,NA,NA,0.7339
成虫,成,虫,NA,NA,0.0741
浦,浦,NA,NA,NA,0.8895
肝胆,肝,胆,NA,NA,0.6301
童谣,童,谣,NA,NA,0.8599
抢劫,抢,劫,NA,NA,17.2869
烽火,烽,火,NA,NA,0.4818
告知,告,知,NA,NA,11.0378
通力,通,力,NA,NA,0.1853
依偎,依,偎,NA,NA,2.765
宛若,宛,若,NA,NA,0.8228
真实,真,实,NA,NA,91.705
假装,假,装,NA,NA,36.7754
眼皮,眼,皮,NA,NA,8.3543
典,典,NA,NA,NA,1.9348
支流,支,流,NA,NA,0.2669
猫,猫,NA,NA,NA,197.1683
选定,选,定,NA,NA,2.1201
造次,造,次,NA,NA,0.1408
网校,网,校,NA,NA,0.3113
赞,赞,NA,NA,NA,75.3744
赏钱,赏,钱,NA,NA,0.0741
赘,赘,NA,NA,NA,0.215
暖和,暖,和,NA,NA,15.3002
恒心,恒,心,NA,NA,2.6316
轻松,轻,松,NA,NA,116.338
医道,医,道,NA,NA,0.0519
股利,股,利,NA,NA,0.089
信从,信,从,NA,NA,0.0148
放浪,放,浪,NA,NA,0.6746
生父,生,父,NA,NA,0.9859
俸禄,俸,禄,NA,NA,36.5159
库,库,NA,NA,NA,8.9918
荣辱,荣,辱,NA,NA,0.8302
政论,政,论,NA,NA,0.0741
尖酸,尖,酸,NA,NA,1.2454
享誉,享,誉,NA,NA,0.5411
下颚,下,颚,NA,NA,1.0156
报喜,报,喜,NA,NA,4.8406
折射,折,射,NA,NA,2.0385
明证,明,证,NA,NA,0.089
常人,常,人,NA,NA,2.9726
取信,取,信,NA,NA,0.341
德,德,NA,NA,NA,36.8199
永,永,NA,NA,NA,36.1749
苍,苍,NA,NA,NA,0.7191
飞碟,飞,碟,NA,NA,2.0608
木瓜,木,瓜,NA,NA,18.1023
采购,采,购,NA,NA,8.5397
强迫,强,迫,NA,NA,15.1668
清爽,清,爽,NA,NA,8.9251
昌盛,昌,盛,NA,NA,1.0823
好听,好,听,NA,NA,41.0007
益友,益,友,NA,NA,0.9044
后起,后,起,NA,NA,0.1927
镇纸,镇,纸,NA,NA,0.1334
静电,静,电,NA,NA,1.7198
平声,平,声,NA,NA,0.0519
侵略,侵,略,NA,NA,2.4388
规避,规,避,NA,NA,0.897
孔隙,孔,隙,NA,NA,0.0445
位移,位,移,NA,NA,0.1927
论断,论,断,NA,NA,0.5263
篱笆,篱,笆,NA,NA,1.4233
惊讶,惊,讶,NA,NA,23.6471
筛,筛,NA,NA,NA,1.0526
重合,重,合,NA,NA,0.7413
厂房,厂,房,NA,NA,0.6375
明令,明,令,NA,NA,0.1334
开怀,开,怀,NA,NA,3.5582
拐骗,拐,骗,NA,NA,6.1008
骨节,骨,节,NA,NA,0.0519
奴隶,奴,隶,NA,NA,10.3929
砍,砍,NA,NA,NA,16.3084
测定,测,定,NA,NA,0.7561
频谱,频,谱,NA,NA,0.0964
余弦,余,弦,NA,NA,0.0519
订金,订,金,NA,NA,0.4225
答疑,答,疑,NA,NA,0.6597
汇总,汇,总,NA,NA,2.4166
压迫,压,迫,NA,NA,4.4107
商会,商,会,NA,NA,1.1935
回响,回,响,NA,NA,1.2676
隐私,隐,私,NA,NA,11.9274
推介,推,介,NA,NA,2.5649
撤退,撤,退,NA,NA,5.3744
参照,参,照,NA,NA,1.6679
囊括,囊,括,NA,NA,0.7413
热切,热,切,NA,NA,1.2528
莫非,莫,非,NA,NA,6.8199
扶助,扶,助,NA,NA,0.1705
电缆,电,缆,NA,NA,1.6308
敬畏,敬,畏,NA,NA,3.0838
冻伤,冻,伤,NA,NA,0.8302
愉快,愉,快,NA,NA,58.5915
二话,二,话,NA,NA,0.0222
不比,不,比,NA,NA,0.0815
助长,助,长,NA,NA,1.2305
妙,妙,NA,NA,NA,17.8428
夹层,夹,层,NA,NA,0.5486
黏附,黏,附,NA,NA,0.1853
禁锢,禁,锢,NA,NA,3.321
加剧,加,剧,NA,NA,1.9867
疑阵,疑,阵,NA,NA,0.0222
标明,标,明,NA,NA,0.682
拥护,拥,护,NA,NA,1.5864
王冠,王,冠,NA,NA,2.3573
储君,储,君,NA,NA,0.0297
险情,险,情,NA,NA,0.2817
气窗,气,窗,NA,NA,0.0593
充实,充,实,NA,NA,23.1431
牛黄,牛,黄,NA,NA,0.2372
孖,孖,NA,NA,NA,0.0593
没,没,NA,NA,NA,3093.8102
臂力,臂,力,NA,NA,0.3484
令堂,令,堂,NA,NA,0.1038
高中,高,中,NA,NA,56.8792
炳,炳,NA,NA,NA,0.0445
旧闻,旧,闻,NA,NA,0.2224
辨,辨,NA,NA,NA,2.2535
登台,登,台,NA,NA,3.573
临战,临,战,NA,NA,0.0519
死刑,死,刑,NA,NA,18.2135
淋漓,淋,漓,NA,NA,1.6234
揭穿,揭,穿,NA,NA,2.4166
疑犯,疑,犯,NA,NA,5.8265
困境,困,境,NA,NA,10.7561
综述,综,述,NA,NA,0.6672
雷管,雷,管,NA,NA,0.7561
自主,自,主,NA,NA,7.9837
焊枪,焊,枪,NA,NA,0.0741
改判,改,判,NA,NA,0.1408
私欲,私,欲,NA,NA,1.0749
头顶,头,顶,NA,NA,2.3573
步伐,步,伐,NA,NA,6.5456
危楼,危,楼,NA,NA,0.3706
刀背,刀,背,NA,NA,0.0667
拼凑,拼,凑,NA,NA,2.4907
电池,电,池,NA,NA,16.7976
伤痕,伤,痕,NA,NA,10.6004
顺道,顺,道,NA,NA,1.6531
在职,在,职,NA,NA,1.9051
财气,财,气,NA,NA,1.3417
锤炼,锤,炼,NA,NA,0.5782
农奴,农,奴,NA,NA,0.467
椎骨,椎,骨,NA,NA,0.4967
矽,矽,NA,NA,NA,0.0593
娃,娃,NA,NA,NA,4.4033
静坐,静,坐,NA,NA,1.7198
职员,职,员,NA,NA,4.8406
置备,置,备,NA,NA,0.1038
伤残,伤,残,NA,NA,0.5782
气筒,气,筒,NA,NA,0.1334
热饮,热,饮,NA,NA,1.1193
辟谣,辟,谣,NA,NA,1.1564
企图,企,图,NA,NA,7.4277
便道,便,道,NA,NA,0.4596
悲泣,悲,泣,NA,NA,0.1334
用力,用,力,NA,NA,11.5715
欺生,欺,生,NA,NA,0.0148
家规,家,规,NA,NA,0.2298
土壤,土,壤,NA,NA,2.3351
讲授,讲,授,NA,NA,0.3632
娇媚,娇,媚,NA,NA,0.6597
耀,耀,NA,NA,NA,0.3706
坚忍,坚,忍,NA,NA,0.808
免职,免,职,NA,NA,1.3047
长跑,长,跑,NA,NA,1.7569
财会,财,会,NA,NA,0.2669
细则,细,则,NA,NA,0.5041
干粮,干,粮,NA,NA,1.0007
蓬,蓬,NA,NA,NA,0.7116
皮囊,皮,囊,NA,NA,0.7265
车主,车,主,NA,NA,4.1067
建构,建,构,NA,NA,0.2891
一,一,NA,NA,NA,11566.2861
学费,学,费,NA,NA,6.2936
岩石,岩,石,NA,NA,3.9437
热望,热,望,NA,NA,0.089
贱货,贱,货,NA,NA,3.3729
阻抗,阻,抗,NA,NA,0.0519
哭,哭,NA,NA,NA,249.911
字符,字,符,NA,NA,0.8377
报头,报,头,NA,NA,0.0667
捡拾,捡,拾,NA,NA,0.1853
唇吻,唇,吻,NA,NA,0.0222
日益,日,益,NA,NA,3.1208
俳句,俳,句,NA,NA,0.1927
玉,玉,NA,NA,NA,8.258
视线,视,线,NA,NA,10.2372
